FOLIO,P1_1,P1_2_1,P1_2_2,P1_3,P1_4_1,P1_4_2,P1_4_3,P1_4_4,P1_4_5,P1_4_6,P4_1_1,P4_1_2,P4_1_3,ENT,FACTOR
3947,1,0,1,2,,,,,,,,,,24,1587
3948,6,3,3,1,2,2,1,2,2,1,1,1,1,25,634
3949,8,4,4,1,2,1,2,2,1,1,1,1,2,6,1050
3950,3,2,1,2,,,,,,,,,,13,630
3951,2,0,2,2,,,,,,,,,,18,189
3952,2,1,1,2,,,,,,,,,,4,296
3953,4,2,2,1,2,2,1,2,1,2,1,2,1,24,1089
3954,6,2,4,2,,,,,,,,,,22,330
3955,4,1,3,1,1,1,1,1,1,1,2,2,3,13,835
3956,4,2,2,1,2,2,1,2,1,1,2,1,2,6,227
3957,3,1,2,2,,,,,,,,,,6,150
3958,4,2,2,1,2,1,1,2,1,1,1,1,1,12,1104
3959,5,3,2,1,2,1,1,2,1,1,1,1,1,17,1345
3960,2,1,1,2,,,,,,,,,,4,296
3961,5,2,3,1,2,2,2,1,1,2,1,1,1,4,156
3962,4,2,2,1,1,1,1,1,1,2,1,2,1,26,1132
3963,3,1,2,2,,,,,,,,,,17,267
3964,4,2,2,1,2,1,1,2,1,1,1,1,1,31,524
3965,2,0,2,1,2,2,1,2,1,2,2,2,2,14,5322
3966,3,1,2,1,1,2,1,2,1,1,1,1,2,24,953
3967,3,2,1,1,2,2,1,1,1,1,1,1,1,14,2779
3968,3,1,2,1,2,1,1,2,1,1,1,1,1,1,406
3969,2,1,1,2,,,,,,,,,,6,228
3970,3,2,1,2,,,,,,,,,,5,805
3971,5,1,4,1,2,1,1,1,1,1,1,1,1,14,5685
3972,2,1,1,2,,,,,,,,,,20,738
3973,4,2,2,1,1,1,1,1,1,1,1,1,3,21,1505
3974,4,2,2,1,1,1,1,2,1,2,2,2,2,6,172
3975,3,1,2,1,2,2,2,2,2,2,1,1,1,5,1158
3976,1,0,1,2,,,,,,,,,,29,659
3977,5,3,2,2,,,,,,,,,,21,405
3978,5,3,2,1,1,1,1,2,1,2,1,1,1,21,2010
3979,5,3,2,1,1,1,1,1,1,1,1,1,1,2,1487
3980,5,3,2,1,2,1,2,2,1,1,1,3,3,32,314
3981,4,2,2,1,1,1,1,2,1,1,1,1,1,21,1602
3982,2,1,1,2,,,,,,,,,,18,281
3983,5,3,2,1,1,1,1,1,1,1,1,1,1,28,1888
3984,2,2,0,1,2,1,1,2,1,1,3,3,2,6,302
3985,3,2,1,2,,,,,,,,,,26,572
3986,2,1,1,2,,,,,,,,,,4,296
3987,3,1,2,1,1,2,1,2,1,1,1,1,2,11,1752
3988,8,4,4,1,2,2,1,1,1,1,1,1,1,27,1004
3989,1,1,0,2,,,,,,,,,,12,2010
3990,1,0,1,2,,,,,,,,,,16,2252
3991,4,1,3,1,2,2,1,2,1,2,1,1,2,24,798
3992,2,1,1,2,,,,,,,,,,8,1261
3993,5,3,2,1,2,2,1,2,1,2,1,2,2,27,264
3994,1,0,1,2,,,,,,,,,,16,2252
3995,5,4,1,1,1,1,1,2,1,1,1,3,3,16,728
3996,6,3,3,1,2,1,1,2,1,1,1,2,2,7,949
3997,1,1,0,2,,,,,,,,,,1,925
3998,3,1,2,1,2,2,2,2,1,2,1,1,1,12,3809
3999,1,1,0,2,,,,,,,,,,27,1206
4000,6,1,5,1,2,2,1,2,1,2,1,1,1,12,848
4001,3,1,2,1,2,2,2,2,1,1,1,1,1,16,1252
4002,1,1,0,2,,,,,,,,,,15,9827
4003,1,1,0,2,,,,,,,,,,24,1565
4004,1,0,1,2,,,,,,,,,,15,9130
4005,7,5,2,1,1,1,1,2,1,2,1,3,3,7,979
4006,8,4,4,1,1,1,1,2,1,1,1,1,1,22,1983
4007,5,3,2,1,1,1,1,1,1,1,1,2,2,32,319
4008,3,1,2,2,,,,,,,,,,17,267
4009,4,2,2,2,,,,,,,,,,21,586
4010,4,2,2,2,,,,,,,,,,15,2271
4011,4,2,2,1,2,2,1,2,1,2,2,2,3,19,3902
4012,5,3,2,1,2,1,1,2,1,1,1,1,1,27,448
4013,4,3,1,1,2,2,1,2,1,1,1,2,1,8,1254
4014,2,1,1,1,1,2,2,2,1,1,1,1,1,22,1015
4015,2,0,2,2,,,,,,,,,,24,812
4016,3,2,1,1,2,2,1,1,1,1,1,1,2,32,322
4017,4,1,3,1,2,1,1,1,1,1,1,1,1,2,1706
4018,4,1,3,2,,,,,,,,,,24,418
4019,3,1,2,2,,,,,,,,,,2,743
4020,6,3,3,1,1,2,2,2,1,1,1,1,1,11,1381
4021,6,4,2,1,2,2,1,1,1,1,1,1,1,12,389
4022,5,1,4,1,1,1,2,2,1,1,1,1,4,9,5024
4023,5,2,3,1,2,2,2,2,1,1,1,1,4,18,470
4024,5,3,2,2,,,,,,,,,,12,213
4025,4,1,3,1,2,1,1,1,1,1,1,1,1,23,882
4026,2,1,1,2,,,,,,,,,,2,1154
4027,4,3,1,1,2,1,1,2,1,1,1,1,2,1,448
4028,1,1,0,2,,,,,,,,,,20,1734
4029,5,3,2,1,1,2,2,1,1,1,1,1,1,17,834
4030,1,1,0,2,,,,,,,,,,1,925
4031,3,2,1,2,,,,,,,,,,21,846
4032,6,3,3,1,2,2,1,1,1,1,1,1,1,11,2760
4033,1,0,1,2,,,,,,,,,,11,3641
4034,7,4,3,1,1,1,1,2,1,1,1,1,1,19,3314
4035,4,2,2,1,1,1,1,2,1,1,1,2,2,16,4746
4036,4,3,1,1,2,2,1,2,1,2,1,1,1,24,650
4037,6,4,2,1,1,1,1,1,1,1,1,1,1,32,761
4038,3,1,2,1,2,1,1,2,1,1,2,1,2,6,267
4039,10,6,4,1,2,2,1,1,1,1,1,2,3,18,633
4040,4,2,2,1,2,1,1,1,1,1,1,1,2,15,4723
4041,3,1,2,1,1,1,1,1,1,1,1,1,2,29,245
4042,2,1,1,2,,,,,,,,,,5,1292
4043,4,2,2,1,2,1,1,2,1,1,1,1,1,4,281
4044,1,1,0,1,2,2,1,2,1,1,2,2,2,32,927
4045,2,1,1,2,,,,,,,,,,22,798
4046,2,1,1,2,,,,,,,,,,16,1104
4047,1,0,1,2,,,,,,,,,,12,1925
4048,2,1,1,2,,,,,,,,,,6,228
4049,6,2,4,1,1,2,1,1,1,1,1,2,2,29,233
4050,4,2,2,1,2,2,1,2,1,1,1,1,1,31,595
4051,5,2,3,1,2,1,1,2,1,1,1,1,4,15,5330
4052,8,4,4,1,1,2,1,2,1,1,2,2,1,7,2223
4053,5,2,3,1,2,2,1,2,1,2,2,1,2,32,597
4054,5,3,2,1,2,2,1,2,1,1,1,1,3,18,647
4055,5,1,4,1,2,2,2,2,1,2,2,2,2,28,2238
4056,7,1,6,1,2,2,1,2,1,2,2,1,2,30,666
4057,1,1,0,2,,,,,,,,,,25,2168
4058,3,1,2,1,2,2,1,2,1,1,1,1,1,28,2517
4059,1,0,1,2,,,,,,,,,,18,507
4060,4,2,2,1,2,1,1,2,1,1,1,1,1,28,3676
4061,2,1,1,2,,,,,,,,,,18,281
4062,2,1,1,2,,,,,,,,,,28,1726
4063,4,1,3,1,2,1,2,2,1,2,1,1,1,18,268
4064,3,2,1,1,2,2,1,2,1,1,1,1,2,18,266
4065,1,1,0,2,,,,,,,,,,24,1565
4066,3,2,1,2,,,,,,,,,,20,411
4067,2,0,2,1,2,1,1,1,1,1,2,1,1,2,2190
4068,1,0,1,2,,,,,,,,,,2,2584
4069,1,0,1,2,,,,,,,,,,7,2512
4070,3,2,1,1,1,2,1,1,1,1,2,1,2,4,356
4071,2,2,0,2,,,,,,,,,,23,933
4072,3,1,2,1,2,1,1,1,1,2,1,1,1,20,849
4073,7,5,2,1,2,2,1,2,1,2,1,1,1,4,211
4074,3,1,2,2,,,,,,,,,,10,332
4075,2,1,1,2,,,,,,,,,,15,4670
4076,3,2,1,1,2,1,1,1,1,1,1,1,1,19,2264
4077,2,0,2,1,2,2,1,1,1,1,2,2,2,24,1114
4078,1,0,1,2,,,,,,,,,,16,2252
4079,5,2,3,1,2,1,1,1,1,1,1,1,1,8,659
4080,1,0,1,2,,,,,,,,,,24,1587
4081,3,1,2,1,2,1,1,1,1,1,1,1,1,3,275
4082,5,2,3,1,1,1,1,1,1,1,1,1,1,9,5247
4083,3,1,2,1,2,2,1,1,1,1,1,1,1,9,4707
4084,2,1,1,2,,,,,,,,,,30,2651
4085,1,0,1,2,,,,,,,,,,30,5568
4086,1,0,1,2,,,,,,,,,,18,507
4087,4,2,2,1,2,1,1,2,1,1,1,2,2,13,1589
4088,4,2,2,1,2,2,1,2,1,2,1,1,1,13,1017
4089,5,3,2,1,2,2,2,2,1,2,1,1,1,28,1274
4090,4,2,2,1,2,2,1,2,1,1,1,1,1,24,1147
4091,2,0,2,2,,,,,,,,,,13,1011
4092,1,1,0,2,,,,,,,,,,23,1907
4093,4,2,2,2,,,,,,,,,,15,2271
4094,2,0,2,2,,,,,,,,,,6,205
4095,6,2,4,1,2,2,1,2,2,1,2,1,2,23,801
4096,3,1,2,1,2,1,1,2,1,1,1,1,1,8,1047
4097,3,2,1,1,2,1,1,1,1,2,1,1,2,8,1044
4098,4,3,1,1,2,2,1,1,1,2,4,2,2,29,202
4099,2,1,1,2,,,,,,,,,,32,324
4100,4,2,2,1,2,1,2,2,1,1,1,1,1,23,1696
4101,2,1,1,2,,,,,,,,,,25,1100
4102,3,2,1,1,1,1,1,1,1,1,1,1,2,14,4886
4103,4,3,1,1,2,2,1,2,1,2,1,1,1,14,2136
4104,4,1,3,1,2,2,2,2,1,1,1,1,1,13,769
4105,3,2,1,2,,,,,,,,,,13,630
4106,3,0,3,2,,,,,,,,,,13,704
4107,1,1,0,2,,,,,,,,,,21,3180
4108,1,1,0,2,,,,,,,,,,4,638
4109,5,3,2,1,2,1,1,1,1,1,1,1,1,16,1514
4110,1,0,1,2,,,,,,,,,,32,585
4111,2,1,1,2,,,,,,,,,,22,798
4112,2,1,1,2,,,,,,,,,,13,957
4113,4,2,2,1,2,1,1,2,1,1,2,2,2,13,966
4114,1,1,0,2,,,,,,,,,,23,1907
4115,5,1,4,1,2,2,2,2,1,1,1,1,1,18,247
4116,3,2,1,2,,,,,,,,,,2,687
4117,2,1,1,2,,,,,,,,,,29,288
4118,3,1,2,2,,,,,,,,,,8,791
4119,3,1,2,1,2,2,2,2,2,2,1,1,2,32,557
4120,3,1,2,1,2,2,1,2,1,1,1,1,3,29,359
4121,5,2,3,1,1,2,1,1,1,1,2,2,3,6,218
4122,3,1,2,1,2,2,2,2,1,2,2,2,4,6,326
4123,1,1,0,2,,,,,,,,,,9,7940
4124,2,1,1,1,2,1,1,2,1,1,1,1,1,11,5303
4125,3,2,1,1,2,2,1,2,1,2,1,1,1,18,315
4126,3,2,1,2,,,,,,,,,,2,687
4127,4,2,2,1,1,1,1,1,1,1,1,1,3,2,1413
4128,3,2,1,1,2,2,1,2,1,2,1,1,1,16,1018
4129,4,2,2,1,1,1,1,1,1,1,1,1,2,25,1241
4130,3,2,1,1,2,2,2,2,1,2,1,1,1,25,1200
4131,1,0,1,2,,,,,,,,,,13,1938
4132,3,2,1,1,1,2,1,2,1,1,1,1,1,25,1488
4133,3,2,1,1,1,1,1,2,1,1,1,1,1,6,198
4134,2,2,0,1,1,1,1,2,1,1,1,1,3,8,1890
4135,5,2,3,1,2,2,1,2,1,2,1,1,1,13,896
4136,1,0,1,2,,,,,,,,,,22,1656
4137,5,4,1,1,1,1,1,1,1,1,1,2,1,26,737
4138,5,3,2,2,,,,,,,,,,23,388
4139,9,3,6,1,1,1,1,1,1,1,1,1,1,4,76
4140,1,0,1,2,,,,,,,,,,25,1899
4141,3,2,1,2,,,,,,,,,,6,166
4142,5,3,2,1,2,2,2,2,1,2,3,2,3,13,888
4143,5,2,3,1,2,1,1,2,1,2,1,1,1,20,431
4144,6,1,5,1,2,1,1,1,1,1,1,2,2,24,4402
4145,2,1,1,1,2,2,1,2,1,1,3,2,3,18,522
4146,1,1,0,2,,,,,,,,,,11,3880
4147,1,0,1,2,,,,,,,,,,31,1551
4148,4,2,2,1,2,2,2,2,1,2,1,3,2,8,4218
4149,5,2,3,1,2,2,1,2,1,2,1,1,1,18,407
4150,3,2,1,1,2,2,1,2,2,2,3,2,2,25,1488
4151,4,3,1,1,2,1,1,1,1,1,1,1,1,18,246
4152,5,2,3,1,2,1,2,2,1,1,3,2,3,20,883
4153,1,1,0,2,,,,,,,,,,14,5551
4154,5,3,2,1,2,1,1,2,1,1,2,2,3,16,2063
4155,4,3,1,1,2,1,1,2,1,1,1,1,2,3,440
4156,3,1,2,2,,,,,,,,,,9,3218
4157,3,2,1,2,,,,,,,,,,21,846
4158,5,1,4,1,2,1,1,1,1,2,1,2,1,16,1865
4159,6,4,2,1,2,2,1,2,1,1,1,1,1,18,240
4160,2,1,1,2,,,,,,,,,,7,1217
4161,2,1,1,2,,,,,,,,,,15,4670
4162,3,1,2,1,2,1,1,2,1,1,1,1,1,13,884
4163,4,3,1,1,2,1,1,1,1,1,1,1,3,14,2654
4164,5,2,3,1,1,1,1,2,1,1,1,1,3,14,3431
4165,3,1,2,1,2,2,1,2,1,1,1,1,2,32,321
4166,3,2,1,2,,,,,,,,,,16,722
4167,4,1,3,1,1,1,1,2,1,1,1,1,1,32,422
4168,4,2,2,1,1,1,1,2,1,1,3,3,2,32,563
4169,6,2,4,1,2,2,1,2,1,2,1,1,2,12,1543
4170,4,2,2,1,2,2,2,2,1,2,3,3,3,12,6782
4171,6,1,5,1,2,1,1,2,1,1,1,1,1,31,675
4172,2,1,1,2,,,,,,,,,,15,4670
4173,5,1,4,1,1,1,1,1,1,1,1,1,1,27,331
4174,3,1,2,1,2,2,1,2,1,2,3,3,3,27,539
4175,3,0,3,1,2,2,2,2,1,1,1,1,3,30,3945
4176,2,0,2,1,2,2,2,2,1,2,1,1,1,30,4331
4177,3,3,0,2,,,,,,,,,,32,285
4178,1,1,0,2,,,,,,,,,,12,2010
4179,5,3,2,1,2,2,2,2,1,1,1,1,2,30,5631
4180,5,2,3,1,2,1,2,1,1,2,2,1,2,27,432
4181,3,1,2,1,2,1,1,2,1,1,1,1,3,30,2415
4182,7,3,4,1,2,1,2,2,1,1,1,1,3,30,3593
4183,2,1,1,2,,,,,,,,,,30,2651
4184,5,1,4,1,2,1,1,2,1,1,1,1,1,32,182
4185,4,1,3,1,2,1,1,2,1,1,2,2,1,16,1514
4186,5,4,1,1,2,1,1,2,1,1,1,1,1,19,2894
4187,3,2,1,1,2,2,1,2,1,1,4,9,2,30,13433
4188,4,2,2,2,,,,,,,,,,27,253
4189,5,1,4,1,2,2,1,1,1,1,1,1,3,19,3005
4190,2,1,1,2,,,,,,,,,,2,1154
4191,3,2,1,1,2,1,1,2,1,1,1,1,1,26,823
4192,2,1,1,2,,,,,,,,,,17,527
4193,6,3,3,1,2,2,1,1,1,2,1,1,1,16,3504
4194,5,4,1,1,2,1,1,1,1,1,1,2,1,16,1085
4195,1,0,1,2,,,,,,,,,,17,1248
4196,5,2,3,1,1,1,1,1,1,1,1,2,2,19,2533
4197,5,3,2,1,2,2,1,2,1,2,1,1,1,2,3249
4198,2,1,1,2,,,,,,,,,,30,2651
4199,3,2,1,1,2,2,2,2,1,1,1,1,3,21,1446
4200,4,2,2,1,2,1,1,1,1,1,1,2,1,15,4397
4201,2,1,1,2,,,,,,,,,,5,1292
4202,3,2,1,2,,,,,,,,,,19,1843
4203,1,0,1,2,,,,,,,,,,27,1311
4204,3,1,2,1,2,2,2,2,2,2,1,1,1,27,647
4205,5,2,3,1,2,2,1,2,1,2,1,1,3,19,4057
4206,2,1,1,1,1,1,1,2,1,1,1,1,1,16,2820
4207,5,3,2,1,2,1,1,1,1,1,1,1,2,16,1584
4208,4,1,3,1,2,1,1,2,1,1,1,1,1,6,208
4209,4,2,2,1,2,1,1,2,1,1,1,1,1,17,608
4210,1,0,1,2,,,,,,,,,,21,3397
4211,3,2,1,2,,,,,,,,,,19,1843
4212,3,2,1,1,2,1,1,2,1,1,1,1,2,2,1952
4213,3,2,1,2,,,,,,,,,,4,165
4214,2,1,1,2,,,,,,,,,,4,296
4215,3,1,2,1,2,2,2,2,1,1,1,1,1,30,2750
4216,4,2,2,2,,,,,,,,,,11,812
4217,7,2,5,1,2,1,1,2,1,1,1,2,1,4,147
4218,5,2,3,1,2,2,1,2,1,2,1,1,1,20,2915
4219,6,3,3,1,2,2,1,2,1,1,1,1,1,4,564
4220,5,1,4,1,2,2,1,2,1,2,1,1,1,6,504
4221,5,2,3,1,1,1,1,1,1,1,1,2,2,28,942
4222,3,1,2,1,2,2,1,1,1,1,1,1,1,17,490
4223,7,5,2,1,2,1,1,1,1,1,2,1,1,20,2203
4224,7,4,3,1,2,1,1,1,1,1,1,1,4,29,515
4225,6,3,3,1,2,2,1,2,1,2,1,3,1,31,907
4226,2,1,1,1,1,2,1,2,1,1,1,1,1,28,2084
4227,4,3,1,1,2,2,2,2,1,1,2,2,1,29,182
4228,6,3,3,1,2,1,1,2,1,1,3,2,2,29,145
4229,2,1,1,1,1,1,1,1,1,1,2,2,2,27,906
4230,1,0,1,2,,,,,,,,,,27,1311
4231,6,1,5,1,2,2,2,2,1,2,1,1,3,29,492
4232,4,2,2,1,1,1,1,2,1,1,1,2,1,29,247
4233,4,3,1,1,2,2,2,2,1,1,1,1,1,20,711
4234,4,3,1,1,2,2,1,2,1,1,1,1,1,3,462
4235,5,3,2,1,2,2,1,2,1,2,1,2,2,28,2252
4236,4,1,3,1,2,1,1,2,1,1,1,1,1,21,1408
4237,2,1,1,2,,,,,,,,,,6,228
4238,7,3,4,1,2,2,1,2,1,1,1,1,4,17,2075
4239,4,3,1,1,1,2,1,2,1,1,1,1,2,28,1170
4240,4,2,2,1,1,1,1,2,1,1,2,1,3,21,1882
4241,3,1,2,1,2,2,1,1,1,2,1,1,1,20,901
4242,2,1,1,2,,,,,,,,,,1,441
4243,4,2,2,1,2,2,1,2,1,1,1,1,1,29,169
4244,6,3,3,1,2,2,2,2,1,2,1,1,1,31,980
4245,5,1,4,1,2,2,1,2,1,2,1,2,3,13,2290
4246,4,3,1,1,2,2,2,2,1,1,3,2,2,29,282
4247,5,2,3,1,1,2,2,2,1,1,1,1,1,29,154
4248,8,2,6,1,2,1,1,2,1,1,1,1,1,20,420
4249,6,2,4,1,1,2,1,1,1,1,1,1,1,29,244
4250,4,2,2,1,2,2,1,2,1,2,2,2,2,29,256
4251,2,1,1,2,,,,,,,,,,17,527
4252,2,1,1,2,,,,,,,,,,17,527
4253,2,1,1,1,2,1,2,2,1,2,3,2,1,29,673
4254,6,4,2,1,2,1,1,1,1,1,1,1,1,29,351
4255,5,2,3,1,2,2,1,2,1,2,1,1,1,29,278
4256,7,3,4,1,2,2,1,2,1,1,1,3,1,27,382
4257,5,3,2,1,2,1,1,2,1,1,1,1,2,26,1007
4258,1,1,0,2,,,,,,,,,,26,1686
4259,4,3,1,1,2,2,1,1,1,1,1,1,1,21,938
4260,5,2,3,2,,,,,,,,,,20,179
4261,5,4,1,2,,,,,,,,,,17,127
4262,5,2,3,1,2,1,1,2,1,1,2,2,2,27,611
4263,4,2,2,1,2,2,1,1,1,1,3,4,4,27,654
4264,2,1,1,2,,,,,,,,,,27,585
4265,2,1,1,2,,,,,,,,,,29,288
4266,4,1,3,1,1,1,1,1,1,1,1,1,1,26,1321
4267,1,0,1,2,,,,,,,,,,26,1780
4268,5,2,3,1,2,2,1,2,1,1,1,2,3,19,2559
4269,3,1,2,2,,,,,,,,,,20,419
4270,3,1,2,2,,,,,,,,,,20,419
4271,2,1,1,2,,,,,,,,,,17,527
4272,2,1,1,2,,,,,,,,,,20,738
4273,6,1,5,1,2,2,2,2,1,1,1,1,2,17,1145
4274,3,2,1,2,,,,,,,,,,1,274
4275,7,4,3,1,2,2,1,2,1,2,2,1,1,20,887
4276,6,3,3,1,2,1,1,1,1,1,2,2,2,1,297
4277,5,2,3,1,1,1,1,1,1,1,1,1,1,11,1962
4278,2,1,1,2,,,,,,,,,,17,527
4279,4,2,2,1,2,1,1,1,1,1,1,1,3,26,1070
4280,2,1,1,2,,,,,,,,,,31,804
4281,4,1,3,1,2,2,1,2,1,1,1,1,2,26,1243
4282,2,1,1,2,,,,,,,,,,17,527
4283,5,3,2,1,2,2,1,2,2,2,2,1,2,31,802
4284,4,3,1,1,1,2,1,1,1,1,1,1,1,21,1532
4285,1,0,1,2,,,,,,,,,,11,3641
4286,2,1,1,2,,,,,,,,,,21,1468
4287,4,2,2,1,1,1,1,1,1,1,3,1,3,1,287
4288,2,1,1,2,,,,,,,,,,1,441
4289,3,1,2,1,2,1,1,1,1,1,1,2,1,11,1928
4290,4,1,3,1,2,2,1,2,1,2,1,1,1,11,1823
4291,3,0,3,1,1,1,1,2,1,1,2,2,3,3,257
4292,3,1,2,1,2,1,1,2,1,1,1,1,1,19,2482
4293,3,1,2,1,2,2,1,2,1,2,2,3,3,3,318
4294,5,2,3,1,2,2,2,2,1,1,2,1,2,20,1639
4295,5,2,3,1,2,1,1,2,1,1,2,1,2,13,1054
4296,5,2,3,1,2,2,2,2,2,2,1,1,2,24,469
4297,3,2,1,1,1,2,1,1,1,1,1,1,1,32,322
4298,1,0,1,2,,,,,,,,,,24,1587
4299,4,3,1,2,,,,,,,,,,8,656
4300,5,3,2,1,2,2,1,2,1,1,1,1,1,8,2212
4301,7,3,4,1,2,1,1,1,1,1,3,2,1,22,1992
4302,4,2,2,1,2,2,2,2,2,2,1,1,1,25,1816
4303,3,2,1,2,,,,,,,,,,3,197
4304,1,1,0,1,2,2,1,2,1,1,2,1,3,13,2848
4305,3,2,1,1,1,2,1,2,1,1,1,4,2,24,1353
4306,5,3,2,1,2,1,1,1,1,1,1,3,2,3,585
4307,3,2,1,2,,,,,,,,,,21,846
4308,4,2,2,1,1,1,1,1,1,1,1,1,1,2,892
4309,3,1,2,1,2,1,1,1,1,1,2,1,2,26,1063
4310,5,1,4,1,1,1,1,1,1,1,3,2,1,10,1396
4311,3,1,2,2,,,,,,,,,,18,139
4312,5,3,2,1,1,1,1,1,1,1,2,2,2,15,3551
4313,2,1,1,2,,,,,,,,,,1,441
4314,5,1,4,1,2,2,1,2,1,2,1,1,3,32,617
4315,3,1,2,1,2,2,1,2,1,1,1,1,1,1,473
4316,2,1,1,2,,,,,,,,,,24,800
4317,2,1,1,2,,,,,,,,,,13,957
4318,2,0,2,2,,,,,,,,,,16,1283
4319,2,1,1,2,,,,,,,,,,11,1790
4320,1,0,1,2,,,,,,,,,,20,1766
4321,3,1,2,1,2,1,1,2,1,1,1,1,1,27,650
4322,2,1,1,2,,,,,,,,,,28,1726
4323,5,3,2,1,2,1,1,1,1,1,1,2,4,15,2525
4324,8,5,3,1,1,1,1,2,1,1,1,1,1,21,576
4325,2,1,1,2,,,,,,,,,,32,324
4326,2,0,2,2,,,,,,,,,,13,1011
4327,4,2,2,1,2,2,1,2,2,2,1,2,1,32,221
4328,3,1,2,1,2,1,1,2,1,1,2,2,3,16,2258
4329,10,2,8,1,2,2,1,2,1,2,2,2,2,26,2484
4330,3,2,1,1,2,2,2,2,2,2,1,1,1,16,2347
4331,4,2,2,1,2,2,1,2,1,1,1,1,1,15,3543
4332,6,4,2,1,1,1,1,2,1,1,1,1,1,11,3063
4333,3,2,1,2,,,,,,,,,,27,348
4334,4,2,2,1,2,1,1,1,1,1,1,1,1,8,1477
4335,2,1,1,2,,,,,,,,,,16,1104
4336,4,1,3,1,2,1,1,2,1,1,1,2,1,26,981
4337,3,2,1,1,2,1,1,2,1,1,1,1,2,25,1029
4338,4,1,3,1,2,2,1,2,1,2,1,2,2,26,617
4339,5,2,3,1,2,1,2,2,1,2,2,2,1,15,5081
4340,5,3,2,1,2,1,1,2,1,1,1,4,1,31,558
4341,3,1,2,1,2,2,1,2,1,1,1,2,3,1,509
4342,5,2,3,1,2,2,1,2,1,1,2,1,1,14,6642
4343,1,0,1,2,,,,,,,,,,18,507
4344,1,1,0,2,,,,,,,,,,21,3180
4345,1,1,0,2,,,,,,,,,,7,2631
4346,10,5,5,2,,,,,,,,,,21,119
4347,5,2,3,1,1,1,1,2,1,1,1,1,1,26,664
4348,16,10,6,1,1,1,1,1,1,1,1,1,1,9,1593
4349,5,3,2,1,2,2,1,2,1,2,2,1,1,15,4787
4350,5,3,2,1,2,2,2,2,2,2,1,1,3,24,1164
4351,3,2,1,2,,,,,,,,,,27,348
4352,3,2,1,1,2,1,1,2,1,1,2,2,2,28,1459
4353,4,2,2,1,2,1,1,1,1,1,1,1,1,13,2001
4354,5,2,3,1,2,2,1,2,1,1,1,2,2,15,4126
4355,3,2,1,2,,,,,,,,,,15,3185
4356,3,1,2,2,,,,,,,,,,25,745
4357,3,2,1,2,,,,,,,,,,1,274
4358,1,0,1,2,,,,,,,,,,2,2584
4359,3,2,1,1,2,1,1,2,1,1,1,1,1,9,3990
4360,2,1,1,2,,,,,,,,,,15,4670
4361,2,1,1,2,,,,,,,,,,26,874
4362,4,1,3,1,2,2,2,2,1,2,1,1,1,8,647
4363,3,1,2,1,2,2,2,2,1,2,2,2,1,30,2750
4364,4,3,1,1,2,2,1,2,1,1,1,1,1,5,1911
4365,4,1,3,1,2,2,1,2,1,1,2,2,2,13,1910
4366,4,3,1,1,2,2,2,2,1,2,1,1,1,21,1462
4367,6,3,3,1,2,2,1,2,1,1,2,1,1,18,420
4368,1,1,0,2,,,,,,,,,,8,2684
4369,3,2,1,1,2,1,1,1,1,1,1,1,1,25,1079
4370,5,2,3,1,1,2,1,2,1,1,2,2,3,7,825
4371,6,4,2,1,2,2,1,1,1,2,1,1,1,4,127
4372,4,2,2,1,2,1,1,2,1,1,1,2,3,17,837
4373,5,2,3,1,1,1,1,1,1,1,1,1,1,3,630
4374,2,0,2,1,2,1,1,2,1,2,1,1,9,10,1170
4375,1,1,0,2,,,,,,,,,,8,2684
4376,2,2,0,1,2,2,1,2,1,2,1,2,2,26,1247
4377,4,2,2,1,1,1,1,2,1,1,1,1,1,24,669
4378,1,1,0,2,,,,,,,,,,21,3180
4379,4,3,1,1,2,1,1,2,1,1,1,2,2,30,3156
4380,4,3,1,1,2,2,1,2,1,1,3,1,1,9,2988
4381,4,1,3,1,2,1,2,2,1,1,1,1,1,12,1006
4382,5,4,1,1,2,2,1,2,1,1,1,1,3,23,1341
4383,4,2,2,1,1,1,1,2,1,1,1,1,1,15,4723
4384,4,2,2,1,2,2,1,2,1,1,1,1,1,24,685
4385,1,0,1,2,,,,,,,,,,21,3397
4386,1,1,0,2,,,,,,,,,,15,9827
4387,1,1,0,2,,,,,,,,,,23,1907
4388,5,2,3,1,2,1,1,2,1,1,2,1,3,17,841
4389,1,0,1,2,,,,,,,,,,16,2252
4390,3,1,2,1,2,2,1,2,1,1,1,2,2,28,15348
4391,2,1,1,2,,,,,,,,,,16,1104
4392,4,2,2,1,2,2,2,2,1,2,1,1,1,31,702
4393,4,2,2,1,2,2,1,2,1,1,2,1,1,27,532
4394,10,8,2,1,2,1,1,2,1,1,1,2,3,20,1275
4395,5,1,4,1,2,2,2,2,2,2,1,1,1,16,5559
4396,2,1,1,2,,,,,,,,,,6,228
4397,5,3,2,2,,,,,,,,,,20,176
4398,5,2,3,1,2,2,1,2,1,2,1,1,1,25,1412
4399,2,1,1,2,,,,,,,,,,21,1468
4400,1,0,1,2,,,,,,,,,,5,2764
4401,1,0,1,2,,,,,,,,,,30,5568
4402,5,2,3,1,1,1,1,1,1,1,1,1,1,26,991
4403,8,7,1,1,2,1,1,2,1,2,2,2,1,17,1674
4404,4,3,1,1,1,1,1,1,1,1,1,1,4,23,982
4405,2,1,1,2,,,,,,,,,,22,798
4406,2,1,1,2,,,,,,,,,,27,585
