Stump,Amount of say,Caracteristica,Valor,Prediction div 1 igual que valor,Prediction div 2 diferente que valor
0,5.100856798498569,0,"(0.5, 0.9)",0,1
1,5.099336375937951,0,"(0.5, 0.9)",0,1
