FOLIO,P1_1,P1_2_1,P1_2_2,P1_3,P1_4_1,P1_4_2,P1_4_3,P1_4_4,P1_4_5,P1_4_6,P1_5,P4_1_1,P4_1_2,P4_1_3,ENT
155,5,4,1,2,,,,,,,,,,,31
156,2,1,1,2,,,,,,,,,,,3
157,2,0,2,1,2,2,1,2,1,1,,2,2,3,1
158,2,1,1,2,,,,,,,,,,,29
159,1,0,1,2,,,,,,,,,,,1
160,4,2,2,2,,,,,,,,,,,14
161,2,1,1,2,,,,,,,,,,,16
162,5,3,2,1,2,2,1,2,1,2,1,1,1,2,23
163,3,1,2,1,2,1,1,2,1,1,,1,1,1,9
164,6,3,3,1,1,2,1,2,1,1,,2,3,2,29
165,4,3,1,1,1,1,1,2,1,1,,1,2,1,29
166,2,1,1,2,,,,,,,,,,,16
167,5,2,3,2,,,,,,,,,,,12
168,3,2,1,1,2,1,1,1,1,1,,3,2,4,3
169,1,0,1,2,,,,,,,,,,,11
170,3,0,3,2,,,,,,,,,,,8
171,3,2,1,1,2,2,1,2,1,1,,1,1,1,2
172,3,2,1,1,1,1,1,2,1,1,,1,1,1,26
173,1,0,1,2,,,,,,,,,,,19
174,6,4,2,1,2,1,2,2,1,2,1,1,1,1,13
175,6,2,4,1,2,1,1,2,1,1,,1,1,2,9
176,2,0,2,2,,,,,,,,,,,12
177,6,4,2,1,2,1,1,1,1,1,,1,1,1,20
178,3,1,2,1,2,2,2,2,1,2,2,1,1,2,15
179,7,4,3,1,2,2,1,2,1,1,,1,1,1,13
180,5,1,4,1,1,2,1,2,1,1,,1,1,1,25
181,7,4,3,2,,,,,,,,,,,25
182,5,1,4,2,,,,,,,,,,,7
183,4,2,2,1,2,2,1,2,1,1,,1,1,1,14
184,5,2,3,1,2,2,1,2,1,1,,2,2,3,1
185,3,2,1,2,,,,,,,,,,,20
186,1,1,0,2,,,,,,,,,,,15
187,4,3,1,1,2,2,1,2,1,1,,1,1,1,5
188,3,1,2,2,,,,,,,,,,,29
189,4,2,2,2,,,,,,,,,,,14
190,4,2,2,1,1,2,1,2,1,1,,2,2,2,28
191,7,4,3,1,2,2,1,2,1,1,,1,1,1,11
192,4,2,2,1,1,1,1,2,1,1,,1,1,1,14
193,3,1,2,1,2,1,1,2,1,1,,1,1,1,8
194,6,3,3,1,2,1,1,2,1,1,,2,2,1,1
195,3,1,2,1,2,1,1,2,1,1,,1,1,1,21
196,6,2,4,1,2,2,1,2,1,2,1,1,1,1,24
197,5,4,1,2,,,,,,,,,,,31
198,2,1,1,2,,,,,,,,,,,5
199,4,3,1,1,2,1,1,2,1,1,,1,1,1,12
200,7,4,3,1,1,2,1,2,1,1,,1,1,2,29
201,5,2,3,1,2,1,1,2,1,1,,1,1,2,6
202,5,3,2,1,2,2,1,2,1,2,7,1,1,1,31
203,5,3,2,1,2,2,1,2,1,2,1,1,1,1,15
204,4,3,1,1,2,1,1,2,1,2,1,2,3,2,27
205,4,1,3,1,2,1,1,1,1,1,,1,1,1,25
206,4,3,1,1,2,1,1,1,1,1,,1,1,1,27
207,2,0,2,2,,,,,,,,,,,1
208,2,1,1,2,,,,,,,,,,,6
209,2,1,1,2,,,,,,,,,,,31
210,4,1,3,1,2,1,1,2,1,1,,1,1,1,14
211,2,1,1,2,,,,,,,,,,,8
212,7,3,4,2,,,,,,,,,,,14
213,3,1,2,2,,,,,,,,,,,10
214,2,1,1,2,,,,,,,,,,,31
215,2,1,1,2,,,,,,,,,,,18
216,4,3,1,1,2,2,2,2,1,1,,2,3,1,20
217,5,1,4,1,2,2,1,2,1,2,6,1,1,1,2
218,5,2,3,1,2,2,1,2,1,2,1,1,1,3,13
219,2,1,1,2,,,,,,,,,,,27
220,7,5,2,1,1,2,1,2,1,1,,1,1,1,32
221,3,2,1,1,1,1,1,2,1,1,,1,1,1,9
222,2,1,1,2,,,,,,,,,,,18
223,3,1,2,2,,,,,,,,,,,15
224,1,0,1,2,,,,,,,,,,,5
225,2,1,1,1,2,2,1,2,1,1,,1,1,3,9
226,1,0,1,2,,,,,,,,,,,12
227,3,2,1,1,1,2,2,2,1,1,,1,1,1,29
228,5,1,4,1,2,1,1,2,1,1,,1,1,1,15
229,4,2,2,1,2,1,1,1,1,1,,1,1,1,23
230,6,1,5,1,2,2,2,2,1,1,,1,1,3,1
231,1,1,0,2,,,,,,,,,,,2
232,2,1,1,2,,,,,,,,,,,3
233,4,1,3,1,2,1,1,2,1,1,,1,1,1,14
234,2,1,1,2,,,,,,,,,,,6
235,4,2,2,2,,,,,,,,,,,12
236,3,2,1,1,2,2,1,2,2,2,1,2,2,4,6
237,2,1,1,2,,,,,,,,,,,32
238,2,1,1,2,,,,,,,,,,,31
239,2,0,2,2,,,,,,,,,,,12
240,1,1,0,2,,,,,,,,,,,12
241,4,3,1,1,2,2,1,2,1,1,,3,2,3,18
242,4,3,1,1,2,1,1,2,1,1,,3,2,3,17
243,4,2,2,1,2,2,1,1,1,2,1,1,1,2,4
244,5,3,2,2,,,,,,,,,,,21
245,5,1,4,1,2,1,1,2,1,1,,1,1,1,12
246,2,0,2,2,,,,,,,,,,,21
247,5,4,1,1,1,1,1,1,1,1,,1,2,1,25
248,6,2,4,1,2,2,1,2,1,2,6,1,1,1,23
249,2,1,1,2,,,,,,,,,,,13
250,7,3,4,1,2,2,1,2,1,2,1,2,2,2,19
251,5,4,1,1,2,2,1,2,1,1,,1,1,1,26
252,2,1,1,1,1,1,1,2,1,1,,1,1,1,22
253,2,1,1,2,,,,,,,,,,,17
254,2,1,1,1,2,1,1,2,1,1,,1,1,1,23
255,2,1,1,1,1,1,2,1,1,2,1,2,2,1,4
256,1,1,0,1,2,2,1,2,1,1,,1,1,1,14
257,2,1,1,2,,,,,,,,,,,6
258,5,2,3,1,1,1,1,2,1,1,,1,1,1,25
259,4,3,1,1,2,1,1,2,1,1,,2,3,4,31
260,2,1,1,1,2,1,1,1,1,2,9,2,1,1,1
261,2,1,1,2,,,,,,,,,,,13
262,2,1,1,2,,,,,,,,,,,1
263,5,3,2,1,2,2,2,2,1,2,1,1,1,1,32
264,2,1,1,2,,,,,,,,,,,8
265,1,1,0,2,,,,,,,,,,,20
266,4,2,2,2,,,,,,,,,,,25
267,5,2,3,1,2,1,1,1,1,1,,1,1,1,1
268,3,2,1,1,2,1,1,2,1,1,,1,1,1,26
269,1,0,1,2,,,,,,,,,,,32
270,4,2,2,1,2,1,1,1,1,1,,2,2,3,9
271,3,2,1,2,,,,,,,,,,,26
272,2,1,1,2,,,,,,,,,,,1
273,2,1,1,2,,,,,,,,,,,6
274,4,2,2,1,1,1,1,2,1,1,,1,2,2,19
275,2,0,2,1,2,2,2,2,1,2,1,1,1,1,26
276,3,3,0,2,,,,,,,,,,,8
277,2,1,1,2,,,,,,,,,,,8
278,3,1,2,1,2,2,1,2,1,1,,1,1,1,14
279,1,1,0,2,,,,,,,,,,,19
280,3,2,1,1,2,1,1,2,1,1,,1,1,1,1
281,3,2,1,1,2,1,2,2,1,1,,1,1,3,20
282,3,1,2,1,2,1,1,2,1,1,,1,1,1,22
283,2,1,1,2,,,,,,,,,,,12
284,1,0,1,2,,,,,,,,,,,5
285,2,0,2,2,,,,,,,,,,,8
286,2,1,1,2,,,,,,,,,,,5
287,3,1,2,2,,,,,,,,,,,20
288,4,2,2,1,2,2,1,2,1,2,2,2,2,2,17
289,2,1,1,1,2,1,1,1,1,1,,1,1,2,4
290,7,3,4,1,2,1,1,2,1,1,,1,1,1,26
291,2,0,2,1,2,2,1,1,1,1,,2,1,1,27
292,6,2,4,1,2,2,2,2,1,1,,1,1,1,1
293,5,1,4,1,1,2,1,2,1,1,,2,1,4,20
294,5,1,4,1,2,1,1,2,1,1,,1,2,2,15
295,3,1,2,1,2,1,1,2,1,1,,1,1,2,4
296,2,1,1,2,,,,,,,,,,,6
297,1,1,0,2,,,,,,,,,,,11
298,4,1,3,1,2,1,1,2,1,2,1,1,1,1,29
299,4,2,2,1,2,1,1,1,1,1,,1,4,1,4
300,5,3,2,1,1,1,1,1,1,1,,1,1,1,8
301,6,2,4,1,1,1,1,2,1,1,,1,1,3,26
302,2,0,2,1,2,2,1,2,2,1,,1,1,1,32
303,3,1,2,1,2,1,1,2,1,1,,1,1,2,21
304,5,2,3,2,,,,,,,,,,,20
305,3,1,2,2,,,,,,,,,,,27
306,5,2,3,1,2,1,2,1,1,1,,1,1,1,32
307,2,1,1,1,2,2,1,2,1,1,,1,2,1,30
308,8,4,4,1,2,2,1,1,1,1,,1,1,1,32
309,3,1,2,1,2,2,2,2,1,2,2,1,2,1,11
310,4,3,1,1,2,2,2,2,1,2,2,3,1,3,3
311,1,1,0,2,,,,,,,,,,,16
312,2,1,1,2,,,,,,,,,,,29
313,3,1,2,1,2,2,2,2,1,2,1,1,2,2,12
314,2,1,1,2,,,,,,,,,,,31
315,2,0,2,1,2,2,1,2,1,2,2,1,1,1,22
316,7,1,6,1,2,2,2,2,1,2,6,1,1,1,12
317,1,1,0,2,,,,,,,,,,,18
318,4,2,2,1,2,2,1,2,1,2,7,1,1,1,27
319,2,1,1,2,,,,,,,,,,,4
320,6,4,2,1,2,2,2,2,2,2,1,2,1,2,21
321,5,2,3,1,2,2,1,2,1,1,,1,1,1,5
322,3,1,2,2,,,,,,,,,,,23
323,2,1,1,1,2,2,1,2,1,2,2,2,2,2,11
324,3,1,2,2,,,,,,,,,,,16
325,6,4,2,1,2,2,1,2,1,1,,1,1,1,7
326,4,2,2,1,2,2,2,2,1,1,,1,1,1,29
327,2,1,1,1,2,2,1,2,1,2,1,2,2,2,16
328,1,0,1,2,,,,,,,,,,,26
329,5,2,3,1,2,1,1,2,1,1,,2,2,3,26
330,5,2,3,2,,,,,,,,,,,7
331,3,2,1,1,1,1,1,1,1,1,,1,1,1,2
332,5,4,1,1,1,2,1,2,1,2,1,1,1,1,20
333,4,3,1,1,2,1,1,2,1,1,,2,2,2,24
334,2,1,1,2,,,,,,,,,,,14
335,3,1,2,1,2,1,1,2,1,1,,1,1,3,4
336,4,2,2,1,2,1,1,2,1,1,,1,1,1,25
337,1,0,1,2,,,,,,,,,,,30
338,7,4,3,1,2,2,1,2,1,1,,1,1,1,9
339,5,2,3,1,2,2,1,2,1,1,,1,1,1,29
340,2,1,1,2,,,,,,,,,,,1
341,5,3,2,1,2,1,1,1,1,1,,2,1,1,6
342,2,1,1,2,,,,,,,,,,,14
343,2,0,2,2,,,,,,,,,,,18
344,6,4,2,2,,,,,,,,,,,4
345,4,2,2,1,2,2,1,1,1,1,,1,3,3,16
346,3,1,2,1,2,2,2,2,1,2,1,1,1,2,29
347,2,1,1,1,2,1,1,2,1,2,6,1,1,1,23
348,2,1,1,2,,,,,,,,,,,22
349,1,0,1,2,,,,,,,,,,,4
350,1,1,0,2,,,,,,,,,,,26
351,4,2,2,2,,,,,,,,,,,15
352,1,0,1,2,,,,,,,,,,,6
353,8,3,5,1,2,1,1,1,1,1,,1,1,1,9
354,6,2,4,1,2,2,2,2,1,2,1,2,2,2,23
355,7,3,4,1,2,2,1,2,1,2,1,1,1,1,18
356,5,3,2,1,2,2,1,2,1,2,1,1,1,4,12
357,4,2,2,1,2,2,1,2,1,1,,1,1,1,31
358,3,2,1,1,2,1,1,2,1,1,,1,1,2,20
359,4,1,3,1,2,2,1,1,1,1,,2,3,4,5
360,3,2,1,1,2,2,1,2,1,1,,2,2,2,12
361,8,6,2,1,2,1,1,2,1,1,,1,1,1,31
362,1,0,1,2,,,,,,,,,,,32
363,7,5,2,1,2,2,1,2,1,2,1,1,1,1,16
364,2,0,2,2,,,,,,,,,,,3
365,1,1,0,2,,,,,,,,,,,15
366,5,2,3,1,2,1,1,2,1,1,,2,2,2,24
367,2,1,1,1,2,1,2,2,1,1,,1,1,1,5
368,1,1,0,2,,,,,,,,,,,32
369,2,1,1,2,,,,,,,,,,,26
370,3,1,2,2,,,,,,,,,,,12
371,2,0,2,2,,,,,,,,,,,20
372,5,3,2,1,2,2,1,2,1,2,1,2,2,2,8
373,4,1,3,1,2,2,2,2,1,1,,2,2,1,29
374,4,1,3,1,2,2,1,2,1,2,6,1,1,1,7
375,2,1,1,2,,,,,,,,,,,16
376,6,2,4,1,1,1,2,2,1,1,,3,2,3,20
377,3,3,0,2,,,,,,,,,,,16
378,2,1,1,2,,,,,,,,,,,32
379,3,2,1,1,2,2,1,2,1,2,2,1,1,1,31
380,4,3,1,1,2,2,2,2,1,1,,1,2,2,12
381,3,2,1,1,2,2,1,2,1,2,1,1,1,1,18
382,6,4,2,1,2,1,1,2,1,1,,4,3,2,4
383,6,5,1,1,2,1,1,2,1,1,,1,2,2,11
384,4,2,2,1,2,1,1,1,1,1,,1,1,3,14
385,5,2,3,1,2,2,1,2,1,1,,1,1,1,20
