FOLIO,N_REN,SEXO,EDAD,P3_1,PA3_1,PA3_2,PA3_3_NIVEL,PA3_4,PA3_5,PA3_6,PA3_7_1,PA3_7_2,PA3_7_3,PA3_8_1,PA3_8_2,PA3_8_3,PA3_8_4,PA3_8_5,PA3_8_6,PA3_8_7,PA3_8_8,PB3_1,PB3_2,PB3_3,FILTRO_A,PB3_4,PB3_5_NIVEL,PB3_6,PB3_7,PB3_8,PB3_9_1,PB3_9_2,PB3_9_3,PB3_10_1,PB3_10_2,PB3_10_3,PB3_10_4,PB3_10_5,PB3_11_1,PB3_11_2,PB3_11_3,PB3_11_4,PB3_11_5,PB3_12_1,PB3_12_2,PB3_12_3,PB3_12_4,PB3_12_5,PB3_12_6,PB3_12_7,PB3_12_8,FILTRO_B,PB3_13_1,PB3_13_2,PB3_13_3,PB3_13_4,PB3_13_5,PB3_13_6,PB3_13_7,PB3_14,PB3_15,PB3_16_1,PB3_16_2,PB3_16_3,PB3_16_4,PB3_16_5,ENT,NIVEL_A,GRADO_A,NIVEL_B,GRADO_B,FACTOR
28,1,2,13,2,1,1,4,1,,3,1,2,2,1,1,2,2,2,1,2,2,1,,2,1,3,3,2,11,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,,7,2,2,2,2,1,9,4,1,3,2,3941
29,3,1,12,1,1,1,3,1,,3,2,,,1,2,2,2,1,2,2,2,1,,1,2,,3,3,,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,,7,2,2,2,2,1,26,3,6,3,1,1236
29,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,1236
29,2,1,10,1,1,1,3,1,,3,2,,,1,2,2,2,1,2,2,2,1,,1,2,,2,2,4,1,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,7,2,2,2,2,1,26,3,4,2,5,1236
29,4,2,17,1,1,1,6,1,,3,2,2,2,1,2,2,2,1,2,2,2,1,,1,2,,5,2,8,1,1,1,1,1,1,1,9,9,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,,7,1,2,2,2,2,26,6,2,5,3,1236
30,1,2,3,2,2,,,,,,,,,,,,,,,,,1,,2,2,,1,1,20,,1,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,8,2,2,2,2,1,16,,,1,1,1835
30,2,1,7,2,1,2,3,1,,3,2,,,1,1,2,2,2,2,2,2,1,,2,2,,2,1,20,,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,5,8,2,2,2,2,1,16,3,1,2,2,1835
32,3,2,22,10,1,2,9,1,,3,2,2,2,1,1,2,2,1,1,2,2,1,,2,2,,8,3,,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,,,,,,,,,,1,2,1,2,2,15,9,4,8,5,8270
32,4,1,25,7,2,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,8270
32,2,1,21,7,1,1,9,1,,3,2,2,2,1,1,2,2,1,1,2,2,1,,1,2,,8,3,,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,,,,,,,,,,1,2,1,2,2,15,9,3,8,4,8270
32,1,2,15,7,1,1,4,1,,3,2,2,2,1,2,2,2,1,2,2,2,1,,1,2,,3,2,10,1,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,,7,1,2,1,1,2,15,4,2,3,3,8270
33,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,931
33,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,931
37,1,1,15,6,1,2,4,1,,3,2,2,2,1,1,2,2,2,2,2,2,1,,2,2,,5,2,4,1,1,1,2,1,1,1,1,9,1,2,1,1,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,10,7,2,2,2,2,1,25,4,3,5,1,1229
38,1,2,29,10,2,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,645
40,1,2,21,1,1,1,9,1,,3,2,1,2,1,1,2,2,2,2,2,2,1,,1,2,,8,2,4,1,2,2,2,1,1,1,1,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,,,,,,,,,,2,2,2,2,1,30,9,1,8,2,3599
41,1,2,17,1,1,1,6,1,,3,2,1,2,1,1,1,1,1,2,2,2,1,,1,2,,6,1,20,,1,2,1,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,,7,2,2,2,2,1,22,6,2,6,3,848
41,2,1,20,1,2,,,,,,,,,,,,,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,848
42,2,1,28,1,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,1300
42,1,1,21,1,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,1300
43,1,2,22,4,2,,,,,,,,,,,,,,,,,1,,2,2,,8,3,,1,1,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,,,,,,,,,,2,2,2,2,1,28,,,8,1,1405
44,1,1,5,1,1,2,2,1,,4,,,,1,2,1,2,1,1,2,2,1,,2,2,,1,2,15,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,50,7,1,2,2,1,2,25,2,2,1,3,1079
45,1,2,9,2,1,1,3,1,,3,2,,,1,1,2,2,2,1,2,2,1,,1,2,,2,1,8,,1,2,2,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,6,7,2,2,2,2,1,32,3,3,2,4,418
46,1,1,9,6,1,1,3,1,,3,1,,,1,1,1,2,2,2,2,2,1,,1,2,,2,3,,1,1,2,1,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,6,7,2,2,2,2,1,7,3,3,2,4,1312
49,1,1,28,10,2,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2246
51,3,2,28,1,2,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,275
51,1,1,23,1,1,1,9,1,,3,2,2,2,2,1,1,1,1,1,2,2,1,,1,2,,8,3,,1,2,9,9,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,,2,2,1,2,2,18,9,3,8,4,275
51,2,2,24,1,2,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,275
52,2,1,18,1,1,1,6,1,,3,2,2,2,1,1,1,2,1,2,2,2,1,,1,2,,8,3,,1,2,2,2,1,2,2,1,9,1,1,1,2,2,1,2,1,2,2,2,2,2,2,,,,,,,,,,2,2,2,2,1,29,6,3,8,1,297
52,3,1,23,1,2,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,297
52,1,1,11,1,1,1,3,1,,3,2,,,1,2,1,2,1,2,2,2,1,,1,2,,2,2,10,1,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,5,7,1,2,2,2,2,29,3,5,2,6,297
53,1,1,4,1,2,,,,,,,,,,,,,,,,,1,,1,2,,1,2,12,1,1,2,2,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,4,7,2,2,2,2,1,6,,,1,3,259
53,3,1,11,1,1,1,3,1,,3,2,,,1,1,1,2,2,2,2,2,1,,1,2,,2,2,8,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,6,7,2,2,2,2,1,6,3,5,2,6,259
53,2,2,6,1,1,1,2,1,,4,,,,1,2,1,2,1,2,2,2,1,,1,2,,2,2,8,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,12,7,2,2,2,2,1,6,2,3,2,1,259
54,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,1056
54,6,1,22,6,2,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,1056
54,2,2,15,6,2,,,,,,,,,,,,,,,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,1056
54,3,1,18,6,2,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,1056
54,5,1,21,6,2,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,1056
54,4,2,19,6,2,,,,,,,,,,,,,,,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,1056
57,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,6242
57,2,2,19,1,2,,,,,,,,,,,,,,,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,6242
58,1,2,29,3,2,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,460
59,1,2,10,1,1,1,3,1,,3,2,,,1,2,2,2,2,2,2,2,1,,1,2,,2,3,,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,10,7,2,2,2,2,1,20,3,4,2,5,901
61,1,1,20,10,2,,,,,,,,,,,,,,,,,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,992
64,1,2,14,1,1,2,4,1,,3,2,2,2,1,2,1,2,1,2,2,2,1,,2,2,,3,2,12,1,1,2,1,1,1,1,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,7,1,2,2,2,2,24,4,2,3,3,1227
64,2,1,23,1,1,2,9,1,,3,2,2,2,1,2,2,2,2,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,9,5,,,1227
64,3,1,25,1,2,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,1227
65,2,2,15,2,1,1,4,1,,3,2,2,2,1,2,2,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4,3,,,718
65,1,1,9,2,1,1,3,1,,3,1,,,1,2,2,2,2,2,2,2,1,,1,2,,2,3,,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,15,7,1,2,2,2,2,20,3,3,2,4,718
68,2,2,20,1,2,,,,,,,,,,,,,,,,,1,,1,2,,8,2,10,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,,,,,,,,,,2,2,2,2,1,1,,,8,1,569
68,1,2,15,1,1,1,4,1,,3,2,2,2,1,1,1,1,1,2,2,2,1,,1,2,,5,2,10,1,2,1,1,1,1,1,1,9,1,1,1,1,2,1,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,0,7,1,1,1,2,2,1,4,3,5,1,569
68,3,1,23,1,1,1,9,1,,3,2,2,2,1,2,1,1,1,1,2,2,1,,1,2,,8,3,,1,1,9,1,1,9,1,1,9,1,1,1,2,2,1,1,2,2,2,1,2,2,2,,,,,,,,,,1,2,2,2,2,1,9,4,8,5,569
69,2,2,18,9,2,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,1765
69,3,1,20,1,2,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,1765
69,1,1,15,1,1,1,4,1,,3,2,2,2,1,2,2,2,2,2,2,2,1,,1,2,,5,1,20,,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,,7,2,2,2,2,1,8,4,3,5,1,1765
69,4,1,21,1,2,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,1765
69,5,1,23,1,1,1,9,1,,3,2,2,2,2,1,2,2,2,2,2,2,1,,1,2,,8,2,10,1,2,1,2,1,1,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,,,,,,,,,,2,2,2,2,1,8,9,4,8,4,1765
74,1,2,26,3,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,1599
